pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
Deseret News,2006/09/25,2006/09/28,922.0,RV,62.0,25.0,,2006,utah
Fairleigh Dickinson,2006/09/14,2006/09/19,651.0,RV,23.0,63.0,,2006,delaware
Fairleigh Dickinson,2006/10/18,2006/10/24,502.0,LV,26.0,60.0,,2006,delaware
Rasmussen,2006/10/31,2006/10/31,500.0,LV,45.0,50.0,,2006,maryland
Mason-Dixon,2006/11/01,2006/11/03,625.0,LV,44.0,47.0,,2006,maryland
SurveyUSA,2006/11/03,2006/11/05,663.0,LV,46.0,49.0,,2006,maryland
Potomac,2005/04/11,2005/04/13,1000.0,LV,37.0,41.0,,2006,maryland
Rasmussen,2005/07/18,2005/07/18,500.0,LV,40.0,45.0,,2006,maryland
Gonzales Res.,2005/10/17,2005/10/21,815.0,RV,38.0,47.0,,2006,maryland
Potomac,2005/10/27,2005/11/01,1008.0,LV,32.0,43.0,,2006,maryland
Rasmussen,2005/11/16,2005/11/16,500.0,LV,41.0,49.0,,2006,maryland
Rasmussen,2006/01/10,2006/01/10,500.0,LV,45.0,40.0,,2006,maryland
Rasmussen,2006/02/19,2006/02/19,500.0,LV,35.0,49.0,,2006,maryland
Gonzales Res.,2006/04/04,2006/04/13,819.0,RV,35.0,49.0,,2006,maryland
Rasmussen,2006/04/18,2006/04/18,500.0,LV,35.0,45.0,,2006,maryland
Washington Post,2006/06/19,2006/06/25,902.0,RV,40.0,52.0,,2006,maryland
Potomac,2006/07/06,2006/07/10,1200.0,LV,36.0,47.0,,2006,maryland
Rasmussen,2006/07/10,2006/07/10,500.0,LV,41.0,47.0,,2006,maryland
Pub Op Str (R),2006/08/01,2006/08/02,500.0,RV,35.0,43.0,,2006,maryland
Rasmussen,2006/08/09,2006/08/09,500.0,LV,42.0,47.0,,2006,maryland
Gonzales Res.,2006/08/18,2006/08/25,625.0,LV,39.0,44.0,,2006,maryland
Zogby Interactive*,2006/08/29,2006/09/05,,,40.0,49.0,,2006,maryland
Rasmussen,2006/09/13,2006/09/13,500.0,LV,43.0,50.0,,2006,maryland
Potomac,2006/09/15,2006/09/18,815.0,LV,40.0,51.0,,2006,maryland
SurveyUSA,2006/09/17,2006/09/19,522.0,LV,48.0,47.0,,2006,maryland
Zogby Interactive*,2006/09/19,2006/09/25,,,39.0,52.0,,2006,maryland
Mason-Dixon,2006/09/22,2006/09/26,625.0,LV,41.0,47.0,,2006,maryland
VC Research (R),2006/09/27,2006/09/28,602.0,LV,39.0,44.0,,2006,maryland
USA Today/Gallup,2006/09/27,2006/10/01,678.0,LV,39.0,54.0,,2006,maryland
Reuters/Zogby,2006/09/25,2006/10/02,600.0,LV,37.0,45.0,,2006,maryland
Pub Op Str (R),2006/10/02,2006/10/04,800.0,RV,43.0,47.0,,2006,maryland
Rasmussen,2006/10/10,2006/10/10,500.0,LV,44.0,53.0,,2006,maryland
Zogby Interactive *,2006/10/10,2006/10/16,664.0,LV,43.0,51.0,,2006,maryland
SurveyUSA,2006/10/15,2006/10/17,698.0,LV,46.0,46.0,,2006,maryland
VC Research (R),2006/10/22,2006/10/23,602.0,LV,39.0,41.0,,2006,maryland
Garin Hart Yang (D),2006/10/23,2006/10/24,,LV,40.0,52.0,,2006,maryland
Washington Post,2006/10/22,2006/10/26,1003.0,LV,43.0,54.0,,2006,maryland
Rasmussen,2006/10/26,2006/10/26,500.0,LV,45.0,50.0,,2006,maryland
Zogby Interactive*,2006/10/23,2006/10/27,,LV,44.0,53.0,,2006,maryland
Baltimore Sun,2006/10/28,2006/10/30,800.0,LV,43.0,49.0,,2006,maryland
Reuters/Zogby,2006/10/24,2006/10/31,600.0,LV,44.0,49.0,,2006,maryland
SurveyUSA,2006/10/31,2006/11/02,694.0,LV,47.0,47.0,,2006,maryland
Rasmussen,2006/10/26,2006/10/26,500.0,LV,42.0,54.0,,2006,washington
SurveyUSA,2006/10/27,2006/10/29,774.0,LV,41.0,54.0,,2006,washington
U. of Washington,2006/10/25,2006/10/31,700.0,RV,41.0,53.0,,2006,washington
Mason-Dixon,2006/10/31,2006/11/02,625.0,LV,38.0,54.0,,2006,washington
Strategic Vision (R),2005/05/15,2005/05/17,800.0,LV,36.0,49.0,,2006,washington
Strategic Vision (R),2005/08/05,2005/08/07,800.0,RV,38.0,46.0,,2006,washington
Strategic Vision (R),2005/09/19,2005/09/21,800.0,RV,39.0,46.0,,2006,washington
Strategic Vision (R),2005/10/23,2005/10/25,800.0,RV,39.0,48.0,,2006,washington
Rasmussen,2005/11/10,2005/11/10,500.0,LV,37.0,52.0,,2006,washington
Rasmussen,2005/11/30,2005/11/30,500.0,LV,37.0,52.0,,2006,washington
Strategic Vision (R),2005/12/02,2005/12/04,800.0,RV,39.0,50.0,,2006,washington
Rasmussen,2006/01/02,2006/01/02,500.0,LV,36.0,51.0,,2006,washington
Rasmussen,2006/01/24,2006/01/24,500.0,LV,36.0,50.0,,2006,washington
Elway Poll,2006/02/06,2006/02/09,405.0,RV,25.0,55.0,,2006,washington
Strategic Vision (R),2006/02/10,2006/02/12,800.0,LV,40.0,48.0,,2006,washington
Rasmussen,2006/03/07,2006/03/07,500.0,LV,36.0,49.0,,2006,washington
Strategic Vision (R),2006/03/24,2006/03/26,800.0,LV,39.0,49.0,,2006,washington
Rasmussen,2006/04/04,2006/04/04,500.0,LV,40.0,48.0,,2006,washington
Elway Poll,2006/04/20,2006/04/23,405.0,RV,23.0,52.0,,2006,washington
Strategic Vision (R),2006/04/21,2006/04/23,800.0,LV,40.0,48.0,,2006,washington
Rasmussen,2006/05/08,2006/05/08,500.0,LV,41.0,46.0,,2006,washington
Strategic Vision (R),2006/05/19,2006/05/21,800.0,LV,42.0,47.0,,2006,washington
Rasmussen,2006/06/13,2006/06/13,500.0,LV,40.0,44.0,,2006,washington
Strategic Vision (R),2006/06/23,2006/06/25,800.0,LV,43.0,47.0,,2006,washington
Elway Poll,2006/07/11,2006/07/13,400.0,RV,33.0,47.0,,2006,washington
Rasmussen,2006/07/17,2006/07/17,500.0,LV,37.0,48.0,,2006,washington
Zogby Interactive*,2006/07/11,2006/07/19,,,42.0,49.0,,2006,washington
Strategic Vision (R),2006/07/21,2006/07/23,800.0,LV,44.0,48.0,,2006,washington
Rasmussen,2006/08/15,2006/08/15,500.0,LV,40.0,46.0,,2006,washington
Zogby Interactive*,2006/08/15,2006/08/21,,,43.0,51.0,,2006,washington
SurveyUSA,2006/08/25,2006/08/27,808.0,RV,39.0,56.0,,2006,washington
Strategic Vision (R),2006/08/25,2006/08/27,800.0,LV,43.0,48.0,,2006,washington
SurveyUSA,2006/08/28,2006/08/29,669.0,RV,36.0,53.0,,2006,washington
Zogby Interactive*,2006/08/29,2006/09/05,,,42.0,50.0,,2006,washington
Rasmussen,2006/09/06,2006/09/06,500.0,LV,35.0,52.0,,2006,washington
Rasmussen,2006/09/20,2006/09/20,500.0,LV,42.0,48.0,,2006,washington
Strategic Vision (R),2006/09/22,2006/09/24,800.0,LV,40.0,49.0,,2006,washington
Zogby Interactive*,2006/09/19,2006/09/25,,,43.0,50.0,,2006,washington
SurveyUSA,2006/09/21,2006/09/25,481.0,LV,42.0,54.0,,2006,washington
Mason-Dixon,2006/09/24,2006/09/27,625.0,LV,40.0,50.0,,2006,washington
SurveyUSA,2006/10/13,2006/10/15,848.0,LV,43.0,51.0,,2006,washington
Zogby Interactive *,2006/10/10,2006/10/16,1245.0,LV,45.0,52.0,,2006,washington
Rasmussen,2006/10/17,2006/10/17,500.0,LV,38.0,53.0,,2006,washington
Strategic Vision (R),2006/10/16,2006/10/18,800.0,LV,42.0,51.0,,2006,washington
Mason-Dixon,2006/10/17,2006/10/19,625.0,LV,37.0,52.0,,2006,washington
Zogby Interactive*,2006/10/23,2006/10/27,,LV,46.0,50.0,,2006,washington
Strategic Vision (R),2006/10/27,2006/10/29,800.0,LV,44.0,52.0,,2006,washington
Strategic Vision (R),2006/11/02,2006/11/04,800.0,LV,42.0,53.0,,2006,washington
Mason-Dixon,2006/11/01,2006/11/03,625.0,LV,50.0,38.0,,2006,tennessee
USA Today/Gallup,2006/11/01,2006/11/04,877.0,LV,49.0,46.0,,2006,tennessee
Rasmussen,2006/11/04,2006/11/04,500.0,LV,51.0,47.0,,2006,tennessee
SurveyUSA,2006/11/03,2006/11/05,679.0,LV,51.0,46.0,,2006,tennessee
Decision Research (D),2005/02/22,2005/02/26,400.0,LV,37.0,39.0,,2006,tennessee
Global Strat. (D),2005/03/22,2005/03/24,600.0,LV,24.0,28.0,,2006,tennessee
Global Strat. (D),2005/10/13,2005/10/20,1500.0,LV,36.0,39.0,,2006,tennessee
Rasmussen,2005/12/12,2005/12/12,500.0,LV,36.0,42.0,,2006,tennessee
Rasmussen,2006/01/17,2006/01/17,500.0,LV,42.0,40.0,,2006,tennessee
Rasmussen,2006/02/27,2006/02/27,500.0,LV,39.0,35.0,,2006,tennessee
Rasmussen,2006/05/01,2006/05/01,500.0,LV,43.0,39.0,,2006,tennessee
Zogby,2006/06/12,2006/06/12,502.0,LV,46.0,42.0,,2006,tennessee
Univ. of TN,2006/07/05,2006/07/16,501.0,RV,42.0,35.0,,2006,tennessee
Rasmussen,2006/07/16,2006/07/16,500.0,LV,49.0,37.0,,2006,tennessee
Zogby Interactive*,2006/07/11,2006/07/19,,,43.0,44.0,,2006,tennessee
Mason-Dixon,2006/07/17,2006/07/19,625.0,LV,49.0,36.0,,2006,tennessee
Voter/Consumer Res.,2006/07/23,2006/07/25,500.0,LV,54.0,39.0,,2006,tennessee
Rasmussen,2006/08/10,2006/08/10,500.0,LV,48.0,42.0,,2006,tennessee
Benenson Strat. (D),2006/08/10,2006/08/15,1118.0,LV,42.0,44.0,,2006,tennessee
Zogby Interactive*,2006/08/15,2006/08/21,,,48.0,44.0,,2006,tennessee
Zogby Interactive*,2006/08/29,2006/09/05,,,45.0,43.0,,2006,tennessee
Rasmussen,2006/09/05,2006/09/05,500.0,LV,45.0,44.0,,2006,tennessee
SurveyUSA,2006/09/09,2006/09/11,638.0,LV,45.0,48.0,,2006,tennessee
Benenson Strat (D),2006/09/21,2006/09/23,605.0,LV,39.0,45.0,,2006,tennessee
Zogby Interactive*,2006/09/19,2006/09/25,,,48.0,42.0,,2006,tennessee
Mason-Dixon,2006/09/25,2006/09/27,625.0,LV,42.0,43.0,,2006,tennessee
Middle Tn. State U.,2006/09/19,2006/09/30,549.0,LV,43.0,42.0,,2006,tennessee
USA Today/Gallup,2006/09/27,2006/10/01,598.0,LV,45.0,50.0,,2006,tennessee
Rasmussen,2006/09/28,2006/10/01,500.0,LV,43.0,48.0,,2006,tennessee
Reuters/Zogby,2006/09/25,2006/10/02,604.0,LV,40.0,40.0,,2006,tennessee
Hamilton Beattie (D),2006/10/02,2006/10/04,800.0,LV,44.0,51.0,,2006,tennessee
SurveyUSA,2006/10/07,2006/10/09,539.0,LV,48.0,46.0,,2006,tennessee
Rasmussen,2006/10/11,2006/10/11,500.0,LV,46.0,48.0,,2006,tennessee
Zogby Interactive*,2006/10/10,2006/10/16,906.0,LV,49.0,42.0,,2006,tennessee
Mason-Dixon,2006/10/18,2006/10/20,625.0,LV,45.0,43.0,,2006,tennessee
LA Times/Bloomberg,2006/10/20,2006/10/23,515.0,LV,49.0,44.0,,2006,tennessee
Rasmussen,2006/10/23,2006/10/23,500.0,LV,49.0,47.0,,2006,tennessee
Hamilton Beattie (D),2006/10/21,2006/10/24,800.0,LV,45.0,47.0,,2006,tennessee
SurveyUSA,2006/10/22,2006/10/24,780.0,LV,48.0,48.0,,2006,tennessee
Zogby Interactive*,2006/10/23,2006/10/27,,LV,49.0,48.0,,2006,tennessee
Benenson Strat (D),2006/10/26,2006/10/28,560.0,LV,43.0,48.0,,2006,tennessee
CNN,2006/10/26,2006/10/29,541.0,LV,52.0,44.0,,2006,tennessee
Rasmussen,2006/10/30,2006/10/30,500.0,LV,49.0,47.0,,2006,tennessee
Reuters/Zogby,2006/10/24,2006/10/31,600.0,LV,53.0,43.0,,2006,tennessee
Hamilton Beattie (D),2006/10/31,2006/11/01,600.0,LV,40.0,46.0,,2006,tennessee
Rasmussen,2006/11/02,2006/11/02,500.0,LV,53.0,45.0,,2006,tennessee
Mason-Dixon,2006/10/31,2006/11/02,625.0,LV,44.0,50.0,,2006,ohio
Univ. of Cinci,2006/11/01,2006/11/05,1074.0,LV,44.0,56.0,,2006,ohio
SurveyUSA,2006/11/03,2006/11/05,436.0,LV,42.0,54.0,,2006,ohio
Columbus Dispatch*,2005/10/24,2005/11/03,1872.0,RV,31.0,35.0,,2006,ohio
Rasmussen,2005/11/30,2005/11/30,500.0,LV,43.0,41.0,,2006,ohio
Rasmussen,2006/01/03,2006/01/03,500.0,LV,45.0,40.0,,2006,ohio
Hart Research (D),2006/02/02,2006/02/07,502.0,RV,47.0,36.0,,2006,ohio
Rasmussen,2006/02/16,2006/02/16,500.0,LV,46.0,37.0,,2006,ohio
Rasmussen,2006/03/28,2006/03/28,500.0,LV,45.0,42.0,,2006,ohio
Rasmussen,2006/04/19,2006/04/19,500.0,LV,43.0,41.0,,2006,ohio
Mason-Dixon,2006/04/24,2006/04/26,625.0,LV,47.0,36.0,,2006,ohio
Feldman Group,2006/04/04,2006/04/27,800.0,LV,44.0,45.0,,2006,ohio
