pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election,dem_actual,rep_actual,other_actual,rep_won
Reuters/Zogby,2006/10/24,2006/10/31,600.0,LV,8,37,49,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Research 2000,2006/10/30,2006/11/01,600.0,LV,7,39,51,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
SurveyUSA,2006/11/02,2006/11/04,652.0,LV,9,38,49,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/10/31,2006/11/05,676.0,LV,8,38,50,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2005/04/27,2005/04/27,500.0,LV,NA,20,47,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/04/25,2006/04/30,1536.0,RV,10,13,56,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/05/31,2006/06/06,2114.0,RV,8,18,56,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/06/12,2006/06/12,500.0,LV,15,29,44,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/07/13,2006/07/18,2502.0,RV,9,27,51,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/07/20,2006/07/20,1000.0,LV,13,40,40,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/08/09,2006/08/10,500.0,LV,6,41,46,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/08/10,2006/08/14,1083.0,LV,4,41,53,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive*,2006/08/15,2006/08/21,533.0,LV,2,39,49,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
American Res. Group,2006/08/17,2006/08/21,790.0,LV,3,42,44,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/08/21,2006/08/21,550.0,LV,6,43,45,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Pub Op Str (R),2006/08/27,2006/08/29,600.0,LV,4,35,51,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive*,2006/08/29,2006/09/05,531.0,LV,3,42,46,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
SurveyUSA,2006/09/09,2006/09/11,572.0,LV,7,38,51,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/09/13,2006/09/14,550.0,LV,5,43,45,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
American Res. Group,2006/09/15,2006/09/19,600.0,LV,3,45,47,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive*,2006/09/19,2006/09/25,550.0,LV,4,44,46,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/09/21,2006/09/25,1181.0,LV,5,39,49,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Reuters/Zogby,2006/09/25,2006/10/02,601.0,LV,4,33,53,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/10/03,2006/10/03,550.0,LV,6,40,51,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Univ. of Connecticut,2006/10/04,2006/10/09,637.0,LV,4,40,48,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
SurveyUSA,2006/10/08,2006/10/10,572.0,LV,4,40,53,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive *,2006/10/10,2006/10/16,531.0,LV,4,43,49,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/10/17,2006/10/19,881.0,LV,6,35,52,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
American Res. Group,2006/10/18,2006/10/20,600.0,LV,8,37,49,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive*,2006/10/23,2006/10/27,,LV,6,43,47,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/10/28,2006/10/28,500.0,LV,9,40,48,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/10/24,2006/10/30,926.0,LV,8,37,49,2006,connecticut,NA,39.729744258123,9.62285982179759,50.6473959200795,0
Fairleigh Dickinson,2006/09/14,2006/09/19,651.0,RV,23,63,NA,2006,delaware,NA,70.2002699899577,28.7004263865795,1.09930362346279,0
Fairleigh Dickinson,2006/10/18,2006/10/24,502.0,LV,26,60,NA,2006,delaware,NA,70.2002699899577,28.7004263865795,1.09930362346279,0
Rasmussen,2006/10/31,2006/10/31,500.0,LV,45,50,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Mason-Dixon,2006/11/01,2006/11/03,625.0,LV,44,47,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/11/03,2006/11/05,663.0,LV,46,49,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2005/04/11,2005/04/13,1000.0,LV,37,41,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2005/07/18,2005/07/18,500.0,LV,40,45,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2005/10/17,2005/10/21,815.0,RV,38,47,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
