pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election
Rasmussen Reports,2010/10/24,2010/10/24,750,LV,38,56,,2010,maryland,
Washington Post,2010/10/19,2010/10/22,1434,LV,27,64,,2010,maryland,
Baltimore Sun/OpinionWorks,2010/10/15,2010/10/20,798,LV,32,59,,2010,maryland,
Gonzales Res.,2010/10/11,2010/10/16,816,LV,38,55,,2010,maryland,
Washington Post,2010/09/22,2010/09/26,730,LV,29,61,,2010,maryland,
Rasmussen Reports,2010/09/15,2010/09/15,750,LV,38,54,,2010,maryland,
Rasmussen Reports,2010/08/17,2010/08/17,750,LV,39,55,,2010,maryland,
PPP (D),2010/07/10,2010/07/12,569,RV,27,59,,2010,maryland,
Rasmussen Reports,2010/07/08,2010/07/08,500,LV,33,58,,2010,maryland,
Ohio Poll/Univ of Cin.,2010/10/27,2010/10/31,930,LV,60,39,,2010,ohio,
PPP (D),2010/10/28,2010/10/30,1356,LV,57,39,,2010,ohio,
Quinnipiac,2010/10/25,2010/10/30,848,LV,56,37,,2010,ohio,
Rasmussen Reports,2010/10/26,2010/10/26,750,LV,57,33,,2010,ohio,
Columbus Dispatch*,2010/10/20,2010/10/29,1445,LV,56,40,,2010,ohio,
SurveyUSA,2010/10/22,2010/10/26,613,LV,52,37,,2010,ohio,
Quinnipiac,2010/10/18,2010/10/24,686,LV,53,36,,2010,ohio,
CNN/Time,2010/10/15,2010/10/19,863,LV,55,40,,2010,ohio,
Ohio Poll/Univ of Cin.,2010/10/14,2010/10/18,839,LV,58,39,,2010,ohio,
Quinnipiac,2010/10/12,2010/10/17,1188,LV,55,34,,2010,ohio,
Ohio Poll/Univ of Cin.,2010/10/08,2010/10/13,705,LV,58,36,,2010,ohio,
Rasmussen Reports,2010/10/11,2010/10/11,750,LV,57,34,,2010,ohio,
FOX News/POR-Rasmussen,2010/10/09,2010/10/09,1000,LV,52,35,,2010,ohio,
Suffolk University,2010/10/04,2010/10/06,500,LV,47,37,,2010,ohio,
FOX News/POR-Rasmussen,2010/10/02,2010/10/02,1000,LV,53,37,,2010,ohio,
Quinnipiac,2010/09/29,2010/10/03,1025,LV,55,36,,2010,ohio,
Rasmussen Reports,2010/09/27,2010/09/27,500,LV,51,42,,2010,ohio,
CBS News/NY Times,2010/09/23,2010/09/27,941,LV,45,34,,2010,ohio,
FOX News/POR-Rasmussen,2010/09/25,2010/09/25,1000,LV,50,37,,2010,ohio,
Reuters/Ipsos,2010/09/23,2010/09/25,440,LV,50,37,,2010,ohio,
Ohio Poll/Univ of Cin.,2010/09/16,2010/09/20,852,LV,55,40,,2010,ohio,
FOX News/POR-Rasmussen,2010/09/18,2010/09/18,1000,LV,49,36,,2010,ohio,
Rasmussen Reports,2010/09/13,2010/09/13,750,LV,49,41,,2010,ohio,
CNN/Time,2010/09/10,2010/09/14,820,LV,52,41,,2010,ohio,
Quinnipiac,2010/09/09,2010/09/14,730,LV,55,35,,2010,ohio,
SurveyUSA,2010/09/10,2010/09/13,641,LV,49,40,,2010,ohio,
FOX News/POR-Rasmussen,2010/09/11,2010/09/11,1000,LV,48,41,,2010,ohio,
Columbus Dispatch*,2010/08/25,2010/09/03,1622,LV,50,37,,2010,ohio,
Rasmussen Reports,2010/08/30,2010/08/30,750,LV,47,41,,2010,ohio,
PPP (D),2010/08/27,2010/08/29,475,LV,45,38,,2010,ohio,
Rasmussen Reports,2010/08/16,2010/08/16,750,LV,48,39,,2010,ohio,
Reuters/Ipsos,2010/08/06,2010/08/08,417,LV,43,36,,2010,ohio,
Rasmussen Reports,2010/08/02,2010/08/02,750,LV,44,40,,2010,ohio,
Rasmussen Reports,2010/07/19,2010/07/19,750,LV,45,39,,2010,ohio,
Rasmussen Reports,2010/06/29,2010/06/29,500,LV,43,39,,2010,ohio,
PPP (D),2010/06/26,2010/06/27,482,LV,38,40,,2010,ohio,
Quinnipiac,2010/06/22,2010/06/27,1107,RV,40,42,,2010,ohio,
Rasmussen Reports,2010/06/03,2010/06/03,500,LV,43,43,,2010,ohio,
University of Cincinnati,2010/05/11,2010/05/20,668,LV,46,47,,2010,ohio,
Rasmussen Reports,2010/05/05,2010/05/05,500,LV,42,43,,2010,ohio,
Quinnipiac,2010/04/21,2010/04/26,1568,RV,37,40,,2010,ohio,
R2000/Daily Kos (D)**,2010/04/05,2010/04/07,600,LV,39,43,,2010,ohio,
Rasmussen Reports,2010/03/30,2010/03/30,500,LV,43,38,,2010,ohio,
Quinnipiac,2010/03/23,2010/03/29,1526,RV,37,41,,2010,ohio,
PPP (D),2010/03/20,2010/03/21,630,LV,41,36,,2010,ohio,
Rasmussen Reports,2010/03/04,2010/03/04,500,LV,44,39,,2010,ohio,
Quinnipiac,2010/02/16,2010/02/21,1662,RV,40,37,,2010,ohio,
Rasmussen Reports,2010/02/05,2010/02/06,500,LV,43,39,,2010,ohio,
Rasmussen Reports,2010/01/12,2010/01/12,500,LV,44,37,,2010,ohio,
ORL/Wenzel Strategies (R),2010/01/08,2010/01/12,1001,RV,37,31,,2010,ohio,
Rasmussen Reports,2009/12/07,2009/12/07,500,LV,38,36,,2010,ohio,
Quinnipiac,2009/11/05,2009/11/09,1123,RV,39,36,,2010,ohio,
Rasmussen Reports,2009/09/23,2009/09/23,500,LV,41,40,,2010,ohio,
Quinnipiac,2009/09/10,2009/09/13,1074,RV,31,42,,2010,ohio,
R2000/Daily Kos (D)**,2009/07/06,2009/07/08,600,LV,35,42,,2010,ohio,
Quinnipiac,2009/06/26,2009/07/01,1259,RV,33,37,,2010,ohio,
PPP (D),2009/06/17,2009/06/19,619,RV,32,41,,2010,ohio,
Quinnipiac,2009/04/28,2009/05/04,1079,RV,31,42,,2010,ohio,
Quinnipiac,2009/03/10,2009/03/15,1299,RV,33,41,,2010,ohio,
Quinnipiac,2009/01/29,2009/02/02,1127,RV,27,42,,2010,ohio,
PPP (D),2009/01/17,2009/01/18,578,RV,41,39,,2010,ohio,
Des Moines Register,2010/10/26,2010/10/29,805,LV,61,30,,2010,iowa,
Rasmussen Reports,2010/09/23,2010/09/23,500,LV,55,37,,2010,iowa,
Des Moines Register,2010/09/19,2010/09/22,550,LV,61,30,,2010,iowa,
Rasmussen Reports,2010/08/05,2010/08/05,500,LV,55,35,,2010,iowa,
Rasmussen Reports,2010/06/14,2010/06/14,500,LV,54,37,,2010,iowa,
KCCI/Research 2000,2010/05/31,2010/06/02,600,LV,50,42,,2010,iowa,
PPP (D),2010/05/25,2010/05/27,1277,LV,57,31,,2010,iowa,
KCCI/Research 2000,2010/05/03,2010/05/05,600,LV,49,40,,2010,iowa,
Rasmussen Reports,2010/04/29,2010/04/29,500,LV,53,40,,2010,iowa,
Rasmussen Reports,2010/03/17,2010/03/17,500,LV,55,36,,2010,iowa,
Rasmussen Reports,2010/02/18,2010/02/18,500,LV,53,36,,2010,iowa,
KCCI/Research 2000,2010/02/15,2010/02/17,600,LV,56,35,,2010,iowa,
PPP (D),2010/10/28,2010/10/30,1021,LV,55,40,,2010,kentucky,
Rasmussen Reports,2010/10/27,2010/10/27,750,LV,53,41,,2010,kentucky,
CN|2/Braun Research,2010/10/25,2010/10/27,800,LV,47,39,,2010,kentucky,
SurveyUSA,2010/10/24,2010/10/27,637,LV,52,43,,2010,kentucky,
CNN/Time,2010/10/20,2010/10/26,785,LV,50,43,,2010,kentucky,
PPP (D),2010/10/21,2010/10/24,900,LV,53,40,,2010,kentucky,
FOX News/POR-Rasmussen,2010/10/23,2010/10/23,1000,LV,50,43,,2010,kentucky,
Mason-Dixon,2010/10/18,2010/10/19,625,LV,48,43,,2010,kentucky,
Rasmussen Reports,2010/10/18,2010/10/18,500,LV,47,42,,2010,kentucky,
CN|2/Braun Research,2010/10/04,2010/10/06,826,LV,43,40,,2010,kentucky,
Rasmussen Reports,2010/09/29,2010/09/29,500,LV,49,38,,2010,kentucky,
SurveyUSA,2010/09/21,2010/09/23,611,LV,49,47,,2010,kentucky,
Daily Kos/PPP (D),2010/09/11,2010/09/12,959,LV,49,42,,2010,kentucky,
Rasmussen Reports,2010/09/07,2010/09/07,500,LV,54,39,,2010,kentucky,
CNN/Time,2010/09/02,2010/09/07,869,RV,46,46,,2010,kentucky,
SurveyUSA,2010/08/30,2010/09/01,561,LV,55,40,,2010,kentucky,
CN|2/Braun Research,2010/08/30,2010/09/01,802,LV,42,37,,2010,kentucky,
Rasmussen Reports,2010/08/17,2010/08/17,500,LV,51,41,,2010,kentucky,
CN|2/Braun Research,2010/08/16,2010/08/18,801,LV,41,42,,2010,kentucky,
Reuters/Ipsos,2010/08/13,2010/08/15,435,LV,45,40,,2010,kentucky,
CN|2/Braun Research,2010/08/02,2010/08/04,802,LV,41,31,,2010,kentucky,
SurveyUSA,2010/07/27,2010/07/29,568,LV,51,43,,2010,kentucky,
CN|2/Braun Research,2010/07/19,2010/07/21,803,LV,41,38,,2010,kentucky,
Rasmussen Reports,2010/07/20,2010/07/20,750,LV,49,41,,2010,kentucky,
PPP (D),2010/06/28,2010/06/30,625,RV,43,43,,2010,kentucky,
Rasmussen Reports,2010/06/28,2010/06/28,500,LV,49,42,,2010,kentucky,
Rasmussen Reports,2010/06/01,2010/06/01,500,LV,49,41,,2010,kentucky,
SurveyUSA,2010/05/25,2010/05/27,569,LV,51,45,,2010,kentucky,
R2000/Daily Kos (D)**,2010/05/24,2010/05/26,600,LV,44,41,,2010,kentucky,
Rasmussen Reports,2010/05/19,2010/05/19,500,LV,59,34,,2010,kentucky,
R2000/Daily Kos (D)**,2010/05/10,2010/05/12,600,LV,42,39,,2010,kentucky,
PPP (D),2010/05/01,2010/05/02,946,RV,41,40,,2010,kentucky,
Rasmussen Reports,2010/04/28,2010/04/28,500,LV,47,38,,2010,kentucky,
Rasmussen Reports,2010/03/31,2010/03/31,500,LV,50,36,,2010,kentucky,
R2000/Daily Kos (D)**,2010/03/15,2010/03/17,600,LV,45,39,,2010,kentucky,
Rasmussen Reports,2010/03/02,2010/03/02,500,LV,49,34,,2010,kentucky,
Rasmussen Reports,2010/02/02,2010/02/02,500,LV,47,39,,2010,kentucky,
Rasmussen Reports,2010/01/06,2010/01/06,500,LV,46,38,,2010,kentucky,
PPP (D),2009/12/18,2009/12/21,1199,RV,42,36,,2010,kentucky,
R2000/Daily Kos (D)**,2009/08/31,2009/09/02,600,LV,37,41,,2010,kentucky,
PPP (D),2010/10/30,2010/10/31,1059,LV,49,48,,2010,colorado,
FOX News/POR-Rasmussen,2010/10/30,2010/10/30,1000,LV,50,46,,2010,colorado,
McClatchy/Marist,2010/10/26,2010/10/28,615,LV,49,45,,2010,colorado,
Rasmussen Reports,2010/10/25,2010/10/25,750,LV,48,44,,2010,colorado,
CNN/Time,2010/10/20,2010/10/26,829,LV,47,46,,2010,colorado,
PPP (D),2010/10/21,2010/10/23,818,LV,47,47,,2010,colorado,
Denver Post/SurveyUSA,2010/10/19,2010/10/21,621,LV,47,47,,2010,colorado,
Reuters/Ipsos,2010/10/15,2010/10/17,405,LV,48,45,,2010,colorado,
FOX News/POR-Rasmussen,2010/10/16,2010/10/16,1000,LV,46,45,,2010,colorado,
Rasmussen Reports,2010/10/14,2010/10/14,750,LV,47,45,,2010,colorado,
Rasmussen Reports,2010/10/03,2010/10/03,750,LV,50,45,,2010,colorado,
PPP (D),2010/09/30,2010/10/02,834,LV,45,46,,2010,colorado,
Denver Post/SurveyUSA,2010/09/28,2010/09/30,647,LV,48,43,,2010,colorado,
McClatchy/Marist,2010/09/26,2010/09/28,537,LV,50,42,,2010,colorado,
Rasmussen Reports,2010/09/27,2010/09/27,750,LV,51,43,,2010,colorado,
FOX News/POR-Rasmussen,2010/09/25,2010/09/25,1000,LV,47,43,,2010,colorado,
CNN/Time,2010/09/17,2010/09/21,860,LV,49,44,,2010,colorado,
Rasmussen Reports,2010/09/14,2010/09/14,750,LV,49,45,,2010,colorado,
POS/FM3,2010/08/28,2010/09/01,473,LV,40,43,,2010,colorado,
Rasmussen Reports,2010/08/29,2010/08/29,750,LV,49,45,,2010,colorado,
Reuters/Ipsos,2010/08/20,2010/08/22,453,LV,49,40,,2010,colorado,
Rasmussen Reports,2010/08/11,2010/08/11,750,LV,46,41,,2010,colorado,
PPP (D),2010/08/07,2010/08/08,1015,RV,43,46,,2010,colorado,
Denver Post/SurveyUSA,2010/07/27,2010/07/29,950,RV,43,43,,2010,colorado,
