pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
MPRC (D),2014/10/31,2014/11/02,906,LV,57,37,,2014,maine
Bangor Daily News/Ipsos,2014/10/23,2014/10/29,488,LV,64,32,,2014,maine
CBS News/NYT/YouGov,2014/10/16,2014/10/23,1177,LV,54,35,,2014,maine
Pan Atlantic SMS,2014/10/15,2014/10/21,400,LV,67,27,,2014,maine
Portland Press Herald,2014/10/15,2014/10/21,667,LV,65,30,,2014,maine
Bangor Daily News/Ipsos*,2014/10/06,2014/10/12,540,LV,56,31,,2014,maine
Pan Atlantic SMS,2014/09/23,2014/09/29,400,LV,68,25,,2014,maine
CBS News/NYT/YouGov,2014/09/20,2014/10/01,1531,LV,57,33,,2014,maine
Portland Press Herald,2014/09/18,2014/09/25,482,LV,59,29,,2014,maine
Rasmussen Reports,2014/09/03,2014/09/04,750,LV,59,31,,2014,maine
CBS News/NYT/YouGov,2014/08/18,2014/09/02,1202,LV,58,26,,2014,maine
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,65,29,,2014,maine
Portland Press Herald,2014/06/12,2014/06/18,527,LV,72,17,,2014,maine
Rasmussen Reports,2014/04/23,2014/04/25,830,LV,60,24,,2014,maine
PPP (D),2013/11/08,2013/11/11,964,RV,59,20,,2014,maine
CBS News/NYT/YouGov,2014/10/16,2014/10/23,654,LV,50,28,,2014,mississippi
PPP (D),2014/07/10,2014/07/13,691,RV,41,26,,2014,mississippi
Rasmussen Reports,2014/06/25,2014/06/26,750,LV,46,34,,2014,mississippi
CBS News/NYT/YouGov,2014/09/20,2014/10/01,826,LV,46,35,,2014,mississippi
CBS News/NYT/YouGov,2014/08/18,2014/09/02,976,LV,46,31,,2014,mississippi
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,47,33,,2014,mississippi
Rasmussen Reports,2014/03/26,2014/03/29,750,LV,48,31,,2014,mississippi
PPP (D),2013/11/15,2013/11/17,502,RV,50,33,,2014,mississippi
Sooner Poll/News 9/News on 6*,2014/10/25,2014/10/29,949,LV,63,28,,2014,oklahoma
CBS News/NYT/YouGov,2014/10/16,2014/10/23,995,LV,63,27,,2014,oklahoma
Rasmussen Reports,2014/07/15,2014/07/16,750,LV,58,27,,2014,oklahoma
CBS News/NYT/YouGov,2014/09/20,2014/10/01,1244,LV,67,25,,2014,oklahoma
Sooner Poll/News 9/News on 6*,2014/09/27,2014/09/29,400,LV,56,32,,2014,oklahoma
Sooner Poll/News 9/News on 6*,2014/08/28,2014/08/30,603,LV,59,27,,2014,oklahoma
CBS News/NYT/YouGov,2014/08/18,2014/09/02,821,LV,60,28,,2014,oklahoma
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,56,32,,2014,oklahoma
The Oregonian/Elway,2014/10/26,2014/10/27,403,LV,30,49,,2014,oregon
SurveyUSA,2014/10/23,2014/10/27,552,LV,32,53,,2014,oregon
CBS News/NYT/YouGov,2014/10/16,2014/10/23,1421,LV,39,51,,2014,oregon
SurveyUSA,2014/10/16,2014/10/19,561,LV,32,53,,2014,oregon
CBS News/NYT/YouGov,2014/09/20,2014/10/01,1508,LV,39,52,,2014,oregon
SurveyUSA,2014/09/22,2014/09/24,568,LV,32,52,,2014,oregon
The Polling Company (R)*,2014/09/09,2014/09/11,600,LV,34,42,,2014,oregon
Rasmussen Reports,2014/09/02,2014/09/03,750,LV,35,48,,2014,oregon
CBS News/NYT/YouGov,2014/08/18,2014/09/02,1541,LV,39,51,,2014,oregon
SurveyUSA,2014/08/01,2014/08/05,564,LV,33,52,,2014,oregon
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,41,55,,2014,oregon
SurveyUSA,2014/06/05,2014/06/09,560,LV,32,50,,2014,oregon
PPP (D),2014/05/22,2014/05/27,956,RV,36,50,,2014,oregon
Rasmussen Reports,2014/05/21,2014/05/22,750,LV,37,47,,2014,oregon
Vox Populi/Daily Caller (R),2014/04/28,2014/04/30,618,RV,45,41,,2014,oregon
Harper (R),2014/04/01,2014/04/02,670,LV,34,46,,2014,oregon
Sooner Poll/News 9/News on 6*,2014/10/25,2014/10/29,949,LV,59,28,,2014,oklahoma
CBS News/NYT/YouGov,2014/10/16,2014/10/23,995,LV,63,29,,2014,oklahoma
